Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.04,0.04,0.08,0.04,0.08,Matches
Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,30,1986,17,11,1057,11.7,1,0,1,0,0,3,0,0.09,0,0.09,0.09,0.09,0.3,0.3,0.6,0.9,0.02,0.05,0.07,0.02,0.07,Matches
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,29,1988,38,38,3420,38,0,0,0,0,0,4,0,0,0,0,0,0,1.5,1.5,0.8,2.4,0.04,0.02,0.06,0.04,0.06,Matches
Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,25,1992,22,9,951,10.6,1,0,1,0,0,4,2,0.09,0,0.09,0.09,0.09,0.6,0.6,0.1,0.7,0.06,0.01,0.07,0.06,0.07,Matches
Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,19,1998,16,14,1220,13.6,0,0,0,0,0,5,1,0,0,0,0,0,0.6,0.6,0.7,1.3,0.05,0.05,0.1,0.05,0.1,Matches
Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,23,1993,23,18,1674,18.6,0,1,0,0,0,4,0,0,0.05,0.05,0,0.05,0.4,0.4,1.7,2.1,0.02,0.09,0.12,0.02,0.12,Matches
Arlind Ajeti\Arlind-Ajeti,al ALB,DFMF,Crotone,23,1993,21,15,1271,14.1,0,1,0,0,0,7,0,0,0.07,0.07,0,0.07,0.7,0.7,1.1,1.8,0.05,0.08,0.13,0.05,0.13,Matches
Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,24,1992,34,32,2669,29.7,11,14,10,1,2,5,0,0.37,0.47,0.84,0.34,0.81,7.9,6.4,10.1,16.5,0.26,0.34,0.61,0.21,0.55,Matches
Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,31,1985,31,30,2742,30.5,3,1,3,0,0,7,0,0.1,0.03,0.13,0.1,0.13,1.8,1.8,1.2,3.1,0.06,0.04,0.1,0.06,0.1,Matches
Alisson\Alisson,br BRA,GK,Roma,24,1992,37,37,3330,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Allan\Allan,br BRA,MF,Napoli,26,1991,38,32,2850,31.7,4,5,4,0,0,2,0,0.13,0.16,0.28,0.13,0.28,4.3,4.3,4.3,8.6,0.14,0.14,0.27,0.14,0.27,Matches
Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Sampdoria,29,1988,12,2,267,3,1,1,1,0,0,0,0,0.34,0.34,0.67,0.34,0.67,0.4,0.4,0.3,0.7,0.14,0.11,0.26,0.14,0.26,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches
Felipe Anderson\Felipe-Anderson,br BRA,MFFW,Lazio,24,1993,21,9,1162,12.9,4,6,4,0,0,0,0,0.31,0.46,0.77,0.31,0.77,2.1,2.1,4,6.1,0.16,0.31,0.47,0.16,0.47,Matches
Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Hellas Verona,29,1988,36,36,3240,36,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,31,1986,23,20,1829,20.3,0,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0,0.2,0.01,0,0.01,0.01,0.01,Matches
Gabriele Angella\Gabriele-Angella,it ITA,DF,Udinese,28,1989,12,9,893,9.9,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,Matches
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,30,1986,25,20,1872,20.8,1,3,1,0,0,6,2,0.05,0.14,0.19,0.05,0.19,0.7,0.7,3.2,3.9,0.03,0.16,0.19,0.03,0.19,Matches
Luca Antei\Luca-Antei,it ITA,DF,Benevento,25,1992,8,8,592,6.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,32,1984,33,28,2571,28.6,11,4,6,5,5,1,0,0.39,0.14,0.53,0.21,0.35,8.7,4.9,2.1,7,0.3,0.07,0.38,0.17,0.24,Matches
Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Milan,30,1987,6,1,144,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Mirko Antonucci\Mirko-Antonucci,it ITA,FW,Roma,18,1999,2,0,31,0.3,0,1,0,0,0,0,0,0,2.9,2.9,0,2.9,0.5,0.5,0.2,0.7,1.61,0.76,2.37,1.61,2.37,Matches
Samuel Armenteros\Samuel-Armenteros,se SWE,FW,Benevento,27,1990,9,5,429,4.8,1,0,1,0,0,1,0,0.21,0,0.21,0.21,0.21,1.1,1.1,0,1.1,0.23,0,0.23,0.23,0.23,Matches
Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Juventus,28,1988,19,18,1568,17.4,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,1.1,1.3,0.01,0.06,0.08,0.01,0.08,Matches
Davide Astori\Davide-Astori,it ITA,DF,Fiorentina,30,1987,25,25,2250,25,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.2,1,0.03,0.01,0.04,0.03,0.04,Matches
Felipe Avenatti\Felipe-Avenatti,uy URU,FWMF,Bologna,24,1993,11,4,468,5.2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.03,0.03,0.05,0.03,0.05,Matches
Khouma Babacar\Khouma-Babacar,sn SEN,FW,Sassuolo,24,1993,13,8,750,8.3,2,1,1,1,1,0,0,0.24,0.12,0.36,0.12,0.24,3.4,2.6,1,3.6,0.4,0.12,0.52,0.31,0.43,Matches
Khouma Babacar\Khouma-Babacar,sn SEN,FWMF,Fiorentina,24,1993,16,1,448,5,4,1,2,2,2,1,0,0.8,0.2,1,0.4,0.6,4.7,3.2,0.4,3.6,0.97,0.09,1.06,0.66,0.75,Matches
Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,28,1989,27,27,2351,26.1,2,1,2,0,0,9,2,0.08,0.04,0.11,0.08,0.11,1.9,1.9,2.4,4.3,0.07,0.09,0.16,0.07,0.16,Matches
Riad Baji?\Riad-Bajic,ba BIH,FWMF,Udinese,23,1994,5,0,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.23,0.21,0.44,0.23,0.44,Matches
Andrija Bali?\Andrija-Balic,hr CRO,MF,Udinese,19,1997,21,11,1083,12,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.7,0.7,0.7,1.4,0.06,0.06,0.11,0.06,0.11,Matches
Mattia Bani\Mattia-Bani,it ITA,DF,Chievo,23,1993,16,15,1317,14.6,0,0,0,0,0,5,1,0,0,0,0,0,0.3,0.3,0,0.3,0.02,0,0.02,0.02,0.02,Matches
Antonín Barák\Antonin-Barak,cz CZE,MF,Udinese,22,1994,34,31,2713,30.1,7,3,7,0,0,5,0,0.23,0.1,0.33,0.23,0.33,3.5,3.5,3,6.5,0.12,0.1,0.22,0.12,0.22,Matches
Andrea Barberis\Andrea-Barberis,it ITA,MF,Crotone,23,1993,38,34,3029,33.7,2,1,2,0,0,1,0,0.06,0.03,0.09,0.06,0.09,1.5,1.5,2.1,3.6,0.05,0.06,0.11,0.05,0.11,Matches
Nicolò Barella\Nicolo-Barella,it ITA,MF,Cagliari,20,1997,34,34,2955,32.8,6,2,3,3,3,14,2,0.18,0.06,0.24,0.09,0.15,3.3,1.1,2.2,3.3,0.1,0.07,0.17,0.03,0.1,Matches
Antonio Barreca\Antonio-Barreca,it ITA,DFMF,Torino,22,1995,9,3,468,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0.4,0,0.07,0.08,0,0.08,Matches
Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,33,1984,28,24,1965,21.8,1,2,1,0,0,5,2,0.05,0.09,0.14,0.05,0.14,1.3,1.3,2,3.3,0.06,0.09,0.15,0.06,0.15,Matches
Musa Barrow\Musa-Barrow,gm GAM,FWMF,Atalanta,18,1998,12,5,443,4.9,3,1,3,0,0,0,0,0.61,0.2,0.81,0.61,0.81,3,3,1.1,4.1,0.6,0.22,0.83,0.6,0.83,Matches
Andrea Barzagli\Andrea-Barzagli,it ITA,DF,Juventus,36,1981,25,14,1447,16.1,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,0,0,0.4,0.4,0,0.02,0.03,0,0.03,Matches
Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,25,1992,32,30,2521,28,4,0,4,0,0,13,2,0.14,0,0.14,0.14,0.14,3.7,3.7,1.9,5.6,0.13,0.07,0.2,0.13,0.2,Matches
Dušan Basta\Dusan-Basta,rs SRB,DFMF,Lazio,32,1984,11,9,775,8.6,0,1,0,0,0,0,0,0,0.12,0.12,0,0.12,0.6,0.6,0.4,1,0.07,0.04,0.11,0.07,0.11,Matches
